28.01.2013  14:57:36   
28.01.2013  14:57:36   
28.01.2013  14:57:36    | MHDD 4.6 (c) Dmitry Postrigan | FREEWARE
28.01.2013  14:57:36   Changing mode to: IDE
28.01.2013  14:57:56   Changing mode to: IDE
28.01.2013  14:57:56   Device selected: 10
28.01.2013  14:57:59   
28.01.2013  14:57:59   MHDD>SCAN 
28.01.2013  14:57:59   TOSHIBA MK1652GSX  LBA: 312,581,808
28.01.2013  14:57:59   SN: 582DT45MT  FW: LV011D
28.01.2013  14:58:43   Scan started
28.01.2013  14:58:43   MODE: IDE
28.01.2013  14:58:43   Device: TOSHIBA MK1652GSX
28.01.2013  14:58:43   F/W: LV011D
28.01.2013  14:58:43   SN: 582DT45MT
28.01.2013  14:58:43   -------------------------------
28.01.2013  14:58:43   Lap : 1
28.01.2013  14:58:43   LBA scan: 0 to 312581807
28.01.2013  15:34:08   þ LBA warning: 233091930
28.01.2013  15:34:08   þ LBA warning: 233092185
28.01.2013  15:34:09   þ LBA warning: 233092950
28.01.2013  15:34:11   þ LBA Warning: 233107230
28.01.2013  15:35:06   þ LBA Error: 237351718
28.01.2013  15:35:06   þ LBA Warning: 237356295
28.01.2013  15:35:06   þ LBA Warning: 237363945
28.01.2013  15:35:07   þ LBA Warning: 237364200
28.01.2013  15:35:07   þ LBA Warning: 237376440
28.01.2013  15:35:09   þ LBA Warning: 237414435
28.01.2013  15:35:15   þ LBA Error: 237442253
28.01.2013  15:35:17   þ LBA Warning: 237570240
28.01.2013  15:35:17   þ LBA Warning: 237571005
28.01.2013  15:35:19   þ LBA warning: 237572025
28.01.2013  15:36:06   þ LBA Warning: 240613920
28.01.2013  15:36:07   þ LBA Warning: 240638655
28.01.2013  15:36:08   þ LBA Warning: 240749070
28.01.2013  15:36:09   þ LBA Warning: 240769725
28.01.2013  15:36:13   þ LBA warning: 240971430
28.01.2013  15:36:18   þ LBA Warning: 241216485
28.01.2013  15:36:18   þ LBA Warning: 241231530
28.01.2013  15:36:19   þ LBA warning: 241245555
28.01.2013  15:36:28   þ LBA Warning: 241795845
28.01.2013  15:36:29   þ LBA warning: 241798650
28.01.2013  15:36:30   þ LBA Warning: 241799670
28.01.2013  15:36:31   þ LBA warning: 241801455
28.01.2013  15:36:31   þ LBA Warning: 241804260
28.01.2013  15:36:32   þ LBA warning: 241805025
28.01.2013  15:36:33   þ LBA warning: 241805280
28.01.2013  15:36:35   þ LBA warning: 241806300
28.01.2013  15:36:36   þ LBA warning: 241808085
28.01.2013  15:36:36   þ LBA Warning: 241809870
28.01.2013  15:36:37   þ LBA Warning: 241810125
28.01.2013  15:36:37   þ LBA warning: 241810635
28.01.2013  15:36:39   þ LBA warning: 241810890
28.01.2013  15:36:39   þ LBA Warning: 241814715
28.01.2013  15:36:40   þ LBA Warning: 241819305
28.01.2013  15:36:40   þ LBA Warning: 241820325
28.01.2013  15:36:40   þ LBA Warning: 241821090
28.01.2013  15:36:41   þ LBA Warning: 241821345
28.01.2013  15:36:42   þ LBA warning: 241822110
28.01.2013  15:36:42   þ LBA Warning: 241822365
28.01.2013  15:36:42   þ LBA Warning: 241823895
28.01.2013  15:36:43   þ LBA warning: 241824915
28.01.2013  15:36:45   þ LBA warning: 241825935
28.01.2013  15:36:46   þ LBA Warning: 241826955
28.01.2013  15:36:49   þ LBA warning: 241830525
28.01.2013  15:36:49   þ LBA Warning: 241830780
28.01.2013  15:36:50   þ LBA warning: 241832565
28.01.2013  15:36:51   þ LBA warning: 241833585
28.01.2013  15:36:51   þ LBA Warning: 241834350
28.01.2013  15:36:51   þ LBA Warning: 241834605
28.01.2013  15:36:52   þ LBA Warning: 241836135
28.01.2013  15:36:53   þ LBA warning: 241837155
28.01.2013  15:36:53   þ LBA Warning: 241838175
28.01.2013  15:36:54   þ LBA warning: 241839195
28.01.2013  15:36:54   þ LBA Warning: 241839960
28.01.2013  15:36:55   þ LBA Warning: 241840215
28.01.2013  15:36:55   þ LBA Warning: 241840980
28.01.2013  15:36:55   þ LBA Warning: 241841235
